MCC,MWT Cat Mapping,sub_category,Master Category,Citi Bank Category
1,not provided,Others,Transfer out,Agricultural Services
2,not provided,Others,Transfer out,Agricultural Services
3,not provided,Others,Transfer out,Agricultural Services
4,not provided,Others,Transfer out,Agricultural Services
5,not provided,Others,Transfer out,Agricultural Services
6,not provided,Others,Transfer out,Agricultural Services
7,not provided,Others,Transfer out,Agricultural Services
8,not provided,Others,Transfer out,Agricultural Services
9,not provided,Others,Transfer out,Agricultural Services
10,not provided,Others,Transfer out,Agricultural Services
11,COMMERCE BANK ODP,Payments,Transfer out,Government Services
12,not provided,Others,Transfer out,Agricultural Services
13,not provided,Others,Transfer out,Agricultural Services
14,not provided,Others,Transfer out,Agricultural Services
15,not provided,Others,Transfer out,Agricultural Services
16,not provided,Others,Transfer out,Agricultural Services
17,not provided,Others,Transfer out,Agricultural Services
18,not provided,Others,Transfer out,Agricultural Services
19,not provided,Others,Transfer out,Agricultural Services
20,not provided,Others,Transfer out,Agricultural Services
21,not provided,Others,Transfer out,Agricultural Services
22,not provided,Others,Transfer out,Agricultural Services
23,not provided,Others,Transfer out,Agricultural Services
24,not provided,Others,Transfer out,Agricultural Services
25,not provided,Others,Transfer out,Agricultural Services
26,not provided,Others,Transfer out,Agricultural Services
27,not provided,Others,Transfer out,Agricultural Services
28,not provided,Others,Transfer out,Agricultural Services
29,not provided,Others,Transfer out,Agricultural Services
30,not provided,Others,Transfer out,Agricultural Services
31,not provided,Others,Transfer out,Agricultural Services
32,not provided,Others,Transfer out,Agricultural Services
33,not provided,Others,Transfer out,Agricultural Services
34,not provided,Others,Transfer out,Agricultural Services
35,not provided,Others,Transfer out,Agricultural Services
36,not provided,Others,Transfer out,Agricultural Services
37,not provided,Others,Transfer out,Agricultural Services
38,not provided,Others,Transfer out,Agricultural Services
39,not provided,Others,Transfer out,Agricultural Services
40,not provided,Others,Transfer out,Agricultural Services
41,not provided,Others,Transfer out,Agricultural Services
42,not provided,Others,Transfer out,Agricultural Services
43,not provided,Others,Transfer out,Agricultural Services
44,not provided,Others,Transfer out,Agricultural Services
45,not provided,Others,Transfer out,Agricultural Services
46,not provided,Others,Transfer out,Agricultural Services
47,not provided,Others,Transfer out,Agricultural Services
48,not provided,Others,Transfer out,Agricultural Services
49,not provided,Others,Transfer out,Agricultural Services
50,not provided,Others,Transfer out,Agricultural Services
51,not provided,Others,Transfer out,Agricultural Services
52,not provided,Others,Transfer out,Agricultural Services
53,not provided,Others,Transfer out,Agricultural Services
54,not provided,Others,Transfer out,Agricultural Services
55,not provided,Others,Transfer out,Agricultural Services
56,not provided,Others,Transfer out,Agricultural Services
57,not provided,Others,Transfer out,Agricultural Services
58,not provided,Others,Transfer out,Agricultural Services
59,not provided,Others,Transfer out,Agricultural Services
60,not provided,Others,Transfer out,Agricultural Services
61,not provided,Others,Transfer out,Agricultural Services
62,not provided,Others,Transfer out,Agricultural Services
63,not provided,Others,Transfer out,Agricultural Services
64,not provided,Others,Transfer out,Agricultural Services
65,not provided,Others,Transfer out,Agricultural Services
66,not provided,Others,Transfer out,Agricultural Services
67,not provided,Others,Transfer out,Agricultural Services
68,not provided,Others,Transfer out,Agricultural Services
69,not provided,Others,Transfer out,Agricultural Services
70,not provided,Others,Transfer out,Agricultural Services
71,not provided,Others,Transfer out,Agricultural Services
72,not provided,Others,Transfer out,Agricultural Services
73,not provided,Others,Transfer out,Agricultural Services
74,not provided,Others,Transfer out,Agricultural Services
75,not provided,Others,Transfer out,Agricultural Services
76,not provided,Others,Transfer out,Agricultural Services
77,not provided,Others,Transfer out,Agricultural Services
78,not provided,Others,Transfer out,Agricultural Services
79,not provided,Others,Transfer out,Agricultural Services
80,not provided,Others,Transfer out,Agricultural Services
81,not provided,Others,Transfer out,Agricultural Services
82,not provided,Others,Transfer out,Agricultural Services
83,not provided,Others,Transfer out,Agricultural Services
